Ereigniskontext,Komponente,Ereignisname,Herkunft,user,ip,time_stamp,id
Test: Ihre Aufgaben -- Gruppe 1,Test,Kursmodul angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-02-01T19:41:00Z,50
Test: Ihre Aufgaben -- Gruppe 1,Test,Kursmodul angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-02-01T19:41:00Z,51
Test: Ihre Aufgaben -- Gruppe 1,Test,Testversuch neu bewertet,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-02-01T17:13:00Z,52
Test: Ihre Aufgaben -- Gruppe 1,Test,Testbericht angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-02-01T17:12:00Z,53
Test: Ihre Aufgaben -- Gruppe 1,Test,Kursmodul angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-02-01T17:11:00Z,54
Test: Ihre Aufgaben -- Gruppe 1,Test,Kursmodul angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-02-01T16:56:00Z,55
Test: Ihre Aufgaben -- Gruppe 1,Test,Testbericht angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-02-01T11:07:00Z,56
Test: Ihre Aufgaben -- Gruppe 1,Test,Kursmodul angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-02-01T11:07:00Z,57
Test: Ihre Aufgaben -- Gruppe 1,Test,Kursmodul angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T20:23:00Z,58
Test: Ihre Aufgaben -- Gruppe 1,Test,Kursmodul angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T16:32:00Z,59
Test: Ihre Aufgaben -- Gruppe 1,Test,Kursmodul angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T16:32:00Z,60
Test: Ihre Aufgaben -- Gruppe 1,Test,Kursmodul angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T16:32:00Z,61
Test: Ihre Aufgaben -- Gruppe 1,Test,Kursmodul angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T16:32:00Z,62
Test: Ihre Aufgaben -- Gruppe 1,Test,Testversuch neu bewertet,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T15:43:00Z,63
Test: Ihre Aufgaben -- Gruppe 1,Test,Testbericht angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T15:43:00Z,64
Test: Ihre Aufgaben -- Gruppe 1,Test,Testbericht angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T15:43:00Z,65
Test: Ihre Aufgaben -- Gruppe 1,Test,Testbericht angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T15:34:00Z,66
Test: Ihre Aufgaben -- Gruppe 1,Test,Testversuch neu bewertet,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T15:32:00Z,67
Test: Ihre Aufgaben -- Gruppe 1,Test,Testbericht angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T15:32:00Z,68
Test: Ihre Aufgaben -- Gruppe 1,Test,Testbericht angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T15:32:00Z,69
Test: Ihre Aufgaben -- Gruppe 1,Test,Testbericht angezeigt,web,a3e6a06ca7c6a1e828b2b665acb6514e,c0ac985e0e137c2a38407cc456de278e,2022-01-31T15:32:00Z,70
